,English,Family Composition,Generation,Parents education,Family Income,athletic level,F1_Work(h/week),F2_College entrance,F2_transferred,F2_grant,F1_units in math,F1_Std Math,high school attendence,S-T relationship,School Urbanicity,%Hispanic teacher,%Hispanic_NR teacher,%white teacher,%Black teacher,%Asian teacher,%Hawaiian teacher,%Indian teacher,Number of school activities,credits(first year),9_12_GPA,F3_GPA(first year),F3_Highest level of education,Std Math/Reading,Ins_attended,F3_GPA(all),gender_Female,gender_Male,Race_Amer. Indian/Alaska Native,"Race_Asian, Hawaii/Pac. Islander",Race_Black or African American,Race_Hispanic,Race_More than one race,Race_White,Marital_Par_Married,Marital_Par_Married_chld,Marital_Par_Single,Marital_Par_Single_chld
15036,1.0,1.0,3.0,7.0,10,2.0,6.0,4.0,1.0,1.0,4.0,57.31,6.0,0.997,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,34.0,4.0,3.25,1.0,53.25,2.0,3.25,0,1,0,0,0,0,0,1,0,0,1,0
15042,1.0,1.0,3.0,7.0,11,0.0,0.0,4.0,0.0,1.0,4.0,56.99,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,31.0,5.0,2.5,1.0,61.44,1.0,2.5,1,0,0,0,0,0,0,1,0,0,1,0
15043,1.0,1.0,3.0,6.0,9,0.0,2.0,2.0,0.0,0.0,3.0,55.63,6.0,0.934,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,3.5,0.0,57.9,1.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
15044,1.0,1.0,3.0,8.0,11,2.0,1.0,3.0,0.0,1.0,4.0,51.74,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,31.0,6.0,4.0,1.0,53.35,1.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
15047,1.0,1.0,3.0,3.0,10,2.0,0.0,3.0,0.0,0.0,3.0,54.15,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,3.25,1.0,55.31,1.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
15049,1.0,1.0,3.0,7.0,11,1.0,2.0,2.0,0.0,1.0,4.0,49.34,6.0,0.069,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,25.0,4.0,2.0,0.0,49.32,2.0,2.0,1,0,0,0,0,0,0,1,0,0,1,0
15053,1.0,1.0,3.0,7.0,10,1.0,0.0,4.0,0.0,0.0,2.0,70.96,6.0,0.069,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,31.0,6.0,3.5,1.0,69.1,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
15054,1.0,2.0,3.0,6.0,10,3.0,0.0,3.0,0.0,0.0,4.0,44.37,6.0,0.069,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,1.5,0.0,50.4,1.0,1.75,1,0,0,0,0,0,1,0,0,0,1,0
15055,1.0,5.0,3.0,6.0,9,1.0,5.0,4.0,0.0,1.0,2.0,62.57,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,3.0,1.0,71.97,1.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
15063,1.0,1.0,3.0,6.0,11,2.0,6.0,4.0,0.0,1.0,3.0,62.13,6.0,1.189,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,3.0,1.0,54.05,1.0,2.0,1,0,0,0,1,0,0,0,0,0,1,0
15067,1.0,1.0,3.0,7.0,13,2.0,2.0,4.0,0.0,1.0,2.0,62.9,6.0,0.934,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,32.0,6.0,4.0,1.0,67.92,2.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
15071,1.0,1.0,3.0,7.0,11,2.0,1.0,4.0,0.0,1.0,4.0,65.99,6.0,0.934,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,3.5,1.0,64.37,2.0,3.25,0,1,0,0,0,0,0,1,0,0,1,0
15072,1.0,5.0,3.0,6.0,9,2.0,0.0,4.0,0.0,0.0,3.0,64.66,6.0,0.069,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,3.0,0.0,70.42,1.0,1.75,0,1,0,0,0,0,0,1,0,0,1,0
15098,1.0,1.0,3.0,6.0,12,2.0,1.0,4.0,0.0,1.0,4.0,62.54,6.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,34.0,6.0,3.5,1.0,63.7,1.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
15099,1.0,1.0,1.0,6.0,10,2.0,2.0,3.0,0.0,1.0,3.0,59.2,6.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,56.5,1.0,3.5,0,1,0,1,0,0,0,0,0,0,1,0
15100,1.0,1.0,2.0,6.0,10,3.0,1.0,1.0,0.0,1.0,4.0,49.47,6.0,0.68,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,33.0,6.0,2.25,1.0,48.27,2.0,2.25,1,0,0,0,0,0,0,1,0,0,1,0
15105,1.0,1.0,3.0,4.0,9,1.0,3.0,4.0,0.0,1.0,4.0,70.88,6.0,0.68,2,9.0,0.0,91.0,0.0,0.0,0.0,0.0,3.0,44.0,6.0,3.5,1.0,72.93,2.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
15107,1.0,1.0,3.0,6.0,11,3.0,0.0,4.0,0.0,1.0,3.0,66.17,6.0,0.68,2,9.0,0.0,91.0,0.0,0.0,0.0,0.0,2.0,34.0,6.0,4.0,1.0,70.43,2.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
15108,1.0,1.0,3.0,2.0,7,2.0,0.0,1.0,0.0,0.0,3.0,48.14,6.0,2.094,2,9.0,0.0,91.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,3.25,0.0,53.44,1.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
15109,1.0,1.0,3.0,2.0,9,2.0,0.0,1.0,0.0,1.0,3.0,54.63,6.0,0.68,2,9.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,1.5,0.0,50.66,1.0,1.5,1,0,0,0,0,0,0,1,0,0,1,0
15143,1.0,1.0,3.0,7.0,9,2.0,2.0,4.0,0.0,0.0,4.0,65.64,6.0,2.349,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,3.75,1.0,65.97,1.0,4.0,0,1,0,0,0,0,0,1,0,0,1,0
